districts,x,y
Jhapa,326,-216
Illam,323,-180
Pachthar,320,-145
Taplejung,316,-103
Sankhuwasabha,268,-87
Sholukhumbu,223,-81
Terthum,294,-140
Morang,288,-208
Sunsari,262,-202
Dhankuta,275,-162
Saptari,223,-207
Udayapur,216,-173
Bhojpur,252,-143
Khotang,227,-141
Solukhumbu,280,-80
Okhaldunga,193,-124
Siraha,188,-193
Dhanusha,163,-183
Mahottari,143,-176
Sindhuli,155,-133
Ramechhap,163,-112
Dolakha,179,-71
Sindhupalchow,138,-54
Kavre,126,-98
Bhaktapur,112,-86
Kathmandu,103,-79
Lalitpur,104,-100
Makawanpur,60,-103
Sarlahi,121,-163
Bara,96,-163
Rautahat,75,-149
Parsa,49,-125
Dhangadi,59,-59
Nuwakot,83,-55
Rasuwa,98,-23
Gorkha,49,11
Chitwan,9,-100
Nawalpur,-27,-87
Parsai,-43,-102
Rupandehi,-73,-94
Palpa,-58,-68
Syanja,-40,-49
Tanahu,-5,-50
Lamjung,15,-12
Kaski,-25,0
Manang,-12,33
Mustang,-40,72
Myagdi,-80,20
Dolpa,-121,90
Baglung,-95,2
Parbat,-38,-12
Gulmi,85,-32
Argakhachi,-105,-63
Kapilvastu,-115,-90
Dang,-162,-55
Pyuthan,-128,-32
Rolpa,-144,-7
East rukum,-125,36
West rukum,-155,36
Salyan,-181,-7
Banke,-214,-34
Bardiya,-248,-2
Kailali,-298,37
Kanchanpur,-343,55
Dadeldhura,-327,96
Baitadi,-324,128
Darchula,-305,165
Bajhang,-275,143
Doti,-293,86
Achham,-257,87
Dailekh,-225,67
Surkhet,-237,35
Jajarkot,-185,52
Jumla,-181,100
Mugu,-169,139
Humla,-214,200
Bajura,-229,131